252,AFC Bournemouth,4-4-2,Arsenal,3-4-2-1,1,2,2018/19,Premier League
253,Wolverhampton Wanderers,3-4-3,Huddersfield Town,3-5-1-1,0,2,2018/19,Premier League
254,Brighton and Hove Albion,4-4-1-1,Leicester City,4-2-3-1,1,1,2018/19,Premier League
255,Everton,4-2-3-1,Cardiff City,4-1-4-1,1,0,2018/19,Premier League
256,Fulham,4-2-3-1,Southampton,4-2-3-1,3,2,2018/19,Premier League
257,Manchester United,4-3-3,Crystal Palace,4-4-2,0,0,2018/19,Premier League
258,Watford,4-2-2-2,Liverpool,4-2-3-1,0,3,2018/19,Premier League
259,West Ham United,4-2-3-1,Manchester City,4-3-3,0,4,2018/19,Premier League
260,Tottenham Hotspur,4-1-2-1-2,Chelsea,4-3-3,3,1,2018/19,Premier League
261,Liverpool,4-2-3-1,Fulham,4-2-3-1,2,0,2018/19,Premier League
262,Chelsea,4-3-3,Everton,4-2-3-1,0,0,2018/19,Premier League
263,Arsenal,4-2-3-1,Wolverhampton Wanderers,3-4-3,1,1,2018/19,Premier League
264,Manchester City,4-3-3,Manchester United,4-3-3,3,1,2018/19,Premier League
265,Cardiff City,4-1-4-1,Brighton and Hove Albion,4-4-1-1,2,1,2018/19,Premier League
266,Huddersfield Town,3-5-1-1,West Ham United,4-1-4-1,1,1,2018/19,Premier League
267,Leicester City,4-2-3-1,Burnley,4-4-2,0,0,2018/19,Premier League
268,Newcastle United,4-4-1-1,AFC Bournemouth,4-4-1-1,2,1,2018/19,Premier League
269,Southampton,4-2-3-1,Watford,4-2-2-2,1,1,2018/19,Premier League
270,Crystal Palace,4-4-2,Tottenham Hotspur,4-2-3-1,0,1,2018/19,Premier League
271,Huddersfield Town,3-4-1-2,Fulham,4-3-3,1,0,2018/19,Premier League
272,Manchester City,4-3-3,Southampton,4-3-2-1,6,1,2018/19,Premier League
273,Chelsea,4-3-3,Crystal Palace,4-4-2,3,1,2018/19,Premier League
274,AFC Bournemouth,4-4-1-1,Manchester United,4-3-3,1,2,2018/19,Premier League
275,Cardiff City,4-4-1-1,Leicester City,4-2-3-1,0,1,2018/19,Premier League
276,Everton,4-2-3-1,Brighton and Hove Albion,4-4-1-1,3,1,2018/19,Premier League
277,Newcastle United,4-4-1-1,Watford,4-2-2-2,1,0,2018/19,Premier League
278,West Ham United,4-1-4-1,Burnley,4-4-1-1,4,2,2018/19,Premier League
279,Arsenal,4-2-3-1,Liverpool,4-3-3,1,1,2018/19,Premier League
280,Wolverhampton Wanderers,3-4-3,Tottenham Hotspur,4-3-2-1,2,3,2018/19,Premier League
281,Tottenham Hotspur,4-2-3-1,Manchester City,4-3-3,0,1,2018/19,Premier League
282,Burnley,4-4-1-1,Chelsea,4-3-3,0,4,2018/19,Premier League
283,Crystal Palace,4-4-2,Arsenal,4-2-3-1,2,2,2018/19,Premier League
284,Manchester United,4-3-3,Everton,4-2-3-1,2,1,2018/19,Premier League
285,Brighton and Hove Albion,4-4-1-1,Wolverhampton Wanderers,3-4-2-1,1,0,2018/19,Premier League
286,Fulham,4-2-3-1,AFC Bournemouth,3-4-3,0,3,2018/19,Premier League
287,Liverpool,4-2-3-1,Cardiff City,4-4-1-1,4,1,2018/19,Premier League
288,Southampton,4-4-2,Newcastle United,4-4-1-1,0,0,2018/19,Premier League
289,Watford,4-2-2-2,Huddersfield Town,4-4-1-1,3,0,2018/19,Premier League
290,Leicester City,4-2-3-1,West Ham United,4-1-4-1,1,1,2018/19,Premier League
291,Arsenal,4-2-3-1,Leicester City,3-4-1-2,3,1,2018/19,Premier League
292,Everton,4-2-3-1,Crystal Palace,4-4-2,2,0,2018/19,Premier League
293,Chelsea,4-3-3,Manchester United,4-2-3-1,2,2,2018/19,Premier League
294,AFC Bournemouth,4-4-2,Southampton,4-4-2,0,0,2018/19,Premier League
295,Cardiff City,4-4-1-1,Fulham,4-3-3,4,2,2018/19,Premier League
296,Manchester City,4-3-3,Burnley,4-4-1-1,5,0,2018/19,Premier League
297,Newcastle United,4-4-1-1,Brighton and Hove Albion,4-4-1-1,0,1,2018/19,Premier League
298,West Ham United,4-1-4-1,Tottenham Hotspur,4-3-2-1,0,1,2018/19,Premier League
299,Wolverhampton Wanderers,3-4-3,Watford,4-2-2-2,0,2,2018/19,Premier League
300,Huddersfield Town,3-5-1-1,Liverpool,4-3-3,0,1,2018/19,Premier League
301,Fulham,3-4-3,Arsenal,4-4-2,1,5,2018/19,Premier League
302,Southampton,3-4-2-1,Chelsea,4-3-3,0,3,2018/19,Premier League
303,Liverpool,4-3-3,Manchester City,4-2-3-1,0,0,2018/19,Premier League
304,Burnley,4-4-2,Huddersfield Town,4-2-3-1,1,1,2018/19,Premier League
305,Crystal Palace,4-4-2,Wolverhampton Wanderers,3-4-3,0,1,2018/19,Premier League
306,Leicester City,4-2-3-1,Everton,4-2-3-1,1,2,2018/19,Premier League
307,Tottenham Hotspur,4-4-2,Cardiff City,4-1-4-1,1,0,2018/19,Premier League
308,Watford,4-2-2-2,AFC Bournemouth,4-4-2,0,4,2018/19,Premier League
309,Manchester United,4-3-3,Newcastle United,4-4-1-1,3,2,2018/19,Premier League
310,Brighton and Hove Albion,4-4-1-1,West Ham United,4-1-4-1,1,0,2018/19,Premier League
311,AFC Bournemouth,4-4-2,Crystal Palace,4-3-3,2,1,2018/19,Premier League
312,Cardiff City,4-4-1-1,Burnley,4-4-1-1,1,2,2018/19,Premier League
313,West Ham United,4-1-4-1,Manchester United,5-3-2,3,1,2018/19,Premier League
314,Arsenal,4-2-3-1,Watford,4-2-2-2,2,0,2018/19,Premier League
315,Everton,4-2-3-1,Fulham,4-4-1-1,3,0,2018/19,Premier League
